Gene stable ID	Transcript stable ID	Cleavage site (Signalp)	Cleavage site (Signalp) start	Cleavage site (Signalp) end
ENSMUSG00000030911	ENSMUST00000033207	SignalP-noTM	1	34
ENSMUSG00000021091	ENSMUST00000021506	SignalP-noTM	1	20
ENSMUSG00000091635	ENSMUST00000053253	SignalP-noTM	1	21
ENSMUSG00000032394	ENSMUST00000034961	SignalP-noTM	1	47
ENSMUSG00000032394	ENSMUST00000217371	SignalP-noTM	1	47
ENSMUSG00000042793	ENSMUST00000044828	SignalP-noTM	1	22
ENSMUSG00000026938	ENSMUST00000028307	SignalP-noTM	1	22
ENSMUSG00000059049	ENSMUST00000107230	SignalP-noTM	1	29
ENSMUSG00000059049	ENSMUST00000071708	SignalP-noTM	1	29
ENSMUSG00000059049	ENSMUST00000170248	SignalP-noTM	1	29
ENSMUSG00000028567	ENSMUST00000030296	SignalP-noTM	1	24
ENSMUSG00000104445	ENSMUST00000171887	SignalP-TM	1	24
ENSMUSG00000006342	ENSMUST00000095541	SignalP-noTM	1	22
ENSMUSG00000006342	ENSMUST00000077610	SignalP-noTM	1	24
ENSMUSG00000021508	ENSMUST00000224801	SignalP-noTM	1	22
ENSMUSG00000021508	ENSMUST00000021970	SignalP-noTM	1	22
ENSMUSG00000029096	ENSMUST00000087629	SignalP-noTM	1	23
ENSMUSG00000029096	ENSMUST00000114233	SignalP-noTM	1	23
ENSMUSG00000004207	ENSMUST00000177779	SignalP-noTM	1	16
ENSMUSG00000004207	ENSMUST00000004316	SignalP-noTM	1	16
ENSMUSG00000004207	ENSMUST00000179238	SignalP-noTM	1	16
ENSMUSG00000004207	ENSMUST00000105465	SignalP-noTM	1	16
ENSMUSG00000050132	ENSMUST00000108287	SignalP-noTM	1	15
ENSMUSG00000050132	ENSMUST00000061174	SignalP-noTM	1	15
ENSMUSG00000000791	ENSMUST00000000808	SignalP-noTM	1	29
ENSMUSG00000000791	ENSMUST00000212657	SignalP-noTM	1	29
ENSMUSG00000021260	ENSMUST00000021685	SignalP-noTM	1	27
ENSMUSG00000039488	ENSMUST00000160216	SignalP-noTM	1	23
ENSMUSG00000039488	ENSMUST00000162484	SignalP-noTM	1	23
ENSMUSG00000039488	ENSMUST00000074133	SignalP-noTM	1	23
ENSMUSG00000039488	ENSMUST00000179049	SignalP-noTM	1	23
ENSMUSG00000090655	ENSMUST00000165781	SignalP-TM	1	18
ENSMUSG00000024365	ENSMUST00000025223	SignalP-TM	1	21
ENSMUSG00000032086	ENSMUST00000078111	SignalP-noTM	1	21
ENSMUSG00000032086	ENSMUST00000034591	SignalP-noTM	1	21
ENSMUSG00000003420	ENSMUST00000003512	SignalP-noTM	1	21
ENSMUSG00000003420	ENSMUST00000210642	SignalP-noTM	1	21
ENSMUSG00000003420	ENSMUST00000211085	SignalP-noTM	1	21
ENSMUSG00000003420	ENSMUST00000209830	SignalP-noTM	1	21
ENSMUSG00000029019	ENSMUST00000103231	SignalP-noTM	1	26
ENSMUSG00000052911	ENSMUST00000065014	SignalP-noTM	1	35
ENSMUSG00000052911	ENSMUST00000195483	SignalP-noTM	1	35
ENSMUSG00000052911	ENSMUST00000195058	SignalP-noTM	1	35
ENSMUSG00000019539	ENSMUST00000211352	SignalP-noTM	1	20
ENSMUSG00000019539	ENSMUST00000019683	SignalP-noTM	1	20
ENSMUSG00000019539	ENSMUST00000210734	SignalP-noTM	1	20
ENSMUSG00000019539	ENSMUST00000210469	SignalP-noTM	1	20
ENSMUSG00000019539	ENSMUST00000210527	SignalP-noTM	1	20
ENSMUSG00000032014	ENSMUST00000034512	SignalP-noTM	1	36
ENSMUSG00000062478	ENSMUST00000105781	SignalP-noTM	1	16
ENSMUSG00000062478	ENSMUST00000037059	SignalP-noTM	1	16
ENSMUSG00000058579	ENSMUST00000102481	SignalP-noTM	1	16
ENSMUSG00000091059	ENSMUST00000170341	SignalP-noTM	1	26
ENSMUSG00000038048	ENSMUST00000076038	SignalP-noTM	1	24
ENSMUSG00000041616	ENSMUST00000103230	SignalP-noTM	1	24
ENSMUSG00000026566	ENSMUST00000068705	SignalP-noTM	1	37
ENSMUSG00000026566	ENSMUST00000111435	SignalP-noTM	1	37
ENSMUSG00000026566	ENSMUST00000194437	SignalP-noTM	1	37
ENSMUSG00000026566	ENSMUST00000193023	SignalP-noTM	1	37
ENSMUSG00000048126	ENSMUST00000097653	SignalP-noTM	1	25
ENSMUSG00000048126	ENSMUST00000130846	SignalP-noTM	1	25
ENSMUSG00000048126	ENSMUST00000187753	SignalP-noTM	1	25
ENSMUSG00000048126	ENSMUST00000188587	SignalP-noTM	1	25
ENSMUSG00000048126	ENSMUST00000056925	SignalP-noTM	1	25
ENSMUSG00000043740	ENSMUST00000049614	SignalP-noTM	1	23
ENSMUSG00000035262	ENSMUST00000036016	SignalP-noTM	1	24
ENSMUSG00000042961	ENSMUST00000058593	SignalP-noTM	1	24
ENSMUSG00000042961	ENSMUST00000096494	SignalP-noTM	1	24
ENSMUSG00000032269	ENSMUST00000217289	SignalP-noTM	1	23
ENSMUSG00000032269	ENSMUST00000003826	SignalP-noTM	1	23
ENSMUSG00000062593	ENSMUST00000219696	SignalP-noTM	1	23
ENSMUSG00000062593	ENSMUST00000217706	SignalP-noTM	1	23
ENSMUSG00000021259	ENSMUST00000021684	SignalP-noTM	1	28
ENSMUSG00000112148	ENSMUST00000217705	SignalP-noTM	1	20
ENSMUSG00000112148	ENSMUST00000078778	SignalP-noTM	1	23
ENSMUSG00000112148	ENSMUST00000220182	SignalP-noTM	1	23
ENSMUSG00000059901	ENSMUST00000092486	SignalP-noTM	1	21
ENSMUSG00000059901	ENSMUST00000120336	SignalP-noTM	1	21
ENSMUSG00000051043	ENSMUST00000133245	SignalP-TM	1	22
ENSMUSG00000051043	ENSMUST00000122967	SignalP-TM	1	22
ENSMUSG00000051043	ENSMUST00000053361	SignalP-TM	1	22
ENSMUSG00000051043	ENSMUST00000021071	SignalP-TM	1	22
ENSMUSG00000051043	ENSMUST00000136785	SignalP-TM	1	22
ENSMUSG00000051043	ENSMUST00000142262	SignalP-TM	1	22
ENSMUSG00000051043	ENSMUST00000177952	SignalP-TM	1	22
ENSMUSG00000017344	ENSMUST00000017488	SignalP-noTM	1	19
ENSMUSG00000091375	ENSMUST00000167133	SignalP-noTM	1	24
ENSMUSG00000092080	ENSMUST00000165180	SignalP-noTM	1	24
ENSMUSG00000079507	ENSMUST00000105041	SignalP-noTM	1	22
ENSMUSG00000079507	ENSMUST00000073208	SignalP-noTM	1	22
ENSMUSG00000091879	ENSMUST00000171841	SignalP-noTM	1	24
ENSMUSG00000112023	ENSMUST00000102894	SignalP-TM	1	23
ENSMUSG00000112023	ENSMUST00000219661	SignalP-noTM	1	23
ENSMUSG00000045573	ENSMUST00000070375	SignalP-noTM	1	24
ENSMUSG00000045573	ENSMUST00000133567	SignalP-noTM	1	24
ENSMUSG00000053062	ENSMUST00000114195	SignalP-noTM	1	20
ENSMUSG00000053062	ENSMUST00000098407	SignalP-noTM	1	20
ENSMUSG00000008590	ENSMUST00000008734	SignalP-noTM	1	17
ENSMUSG00000026874	ENSMUST00000028233	SignalP-noTM	1	18
ENSMUSG00000021367	ENSMUST00000021796	SignalP-noTM	1	17
ENSMUSG00000048031	ENSMUST00000194102	SignalP-noTM	1	26
ENSMUSG00000048031	ENSMUST00000193229	SignalP-noTM	1	26
ENSMUSG00000048031	ENSMUST00000166297	SignalP-noTM	1	26
ENSMUSG00000048031	ENSMUST00000049926	SignalP-noTM	1	26
ENSMUSG00000048031	ENSMUST00000178261	SignalP-noTM	1	30
ENSMUSG00000048982	ENSMUST00000051079	SignalP-noTM	1	24
ENSMUSG00000019214	ENSMUST00000167940	SignalP-noTM	1	29
ENSMUSG00000042286	ENSMUST00000036618	SignalP-noTM	1	25
ENSMUSG00000074695	ENSMUST00000096691	SignalP-noTM	1	33
ENSMUSG00000051855	ENSMUST00000141130	SignalP-noTM	1	10
ENSMUSG00000051855	ENSMUST00000147400	SignalP-noTM	1	18
ENSMUSG00000051855	ENSMUST00000157040	SignalP-noTM	1	18
ENSMUSG00000034652	ENSMUST00000106582	SignalP-noTM	1	27
ENSMUSG00000034652	ENSMUST00000045151	SignalP-noTM	1	27
ENSMUSG00000027574	ENSMUST00000103053	SignalP-TM	1	21
ENSMUSG00000027574	ENSMUST00000148905	SignalP-TM	1	21
ENSMUSG00000027574	ENSMUST00000108873	SignalP-TM	1	21
ENSMUSG00000006411	ENSMUST00000111286	SignalP-noTM	1	30
ENSMUSG00000006411	ENSMUST00000006578	SignalP-noTM	1	30
ENSMUSG00000006411	ENSMUST00000094325	SignalP-noTM	1	30
ENSMUSG00000027315	ENSMUST00000028783	SignalP-noTM	1	29
ENSMUSG00000027315	ENSMUST00000110816	SignalP-noTM	1	29
ENSMUSG00000027315	ENSMUST00000110817	SignalP-noTM	1	29
ENSMUSG00000090461	ENSMUST00000163808	SignalP-noTM	1	33
ENSMUSG00000091260	ENSMUST00000073948	SignalP-noTM	1	17
ENSMUSG00000094145	ENSMUST00000172199	SignalP-noTM	1	17
ENSMUSG00000033386	ENSMUST00000040260	SignalP-noTM	1	22
ENSMUSG00000033386	ENSMUST00000195905	SignalP-noTM	1	22
ENSMUSG00000093820	ENSMUST00000163607	SignalP-noTM	1	17
ENSMUSG00000091705	ENSMUST00000074806	SignalP-noTM	1	21
ENSMUSG00000033184	ENSMUST00000036030	SignalP-noTM	1	34
ENSMUSG00000033184	ENSMUST00000151189	SignalP-noTM	1	34
ENSMUSG00000063531	ENSMUST00000073957	SignalP-noTM	1	25
ENSMUSG00000095486	ENSMUST00000170808	SignalP-noTM	1	17
ENSMUSG00000031552	ENSMUST00000033957	SignalP-noTM	1	19
ENSMUSG00000091620	ENSMUST00000172391	SignalP-noTM	1	22
ENSMUSG00000055170	ENSMUST00000068592	SignalP-noTM	1	22
ENSMUSG00000058728	ENSMUST00000092466	SignalP-noTM	1	21
ENSMUSG00000058728	ENSMUST00000061637	SignalP-noTM	1	21
ENSMUSG00000072780	ENSMUST00000075095	SignalP-noTM	1	22
ENSMUSG00000094672	ENSMUST00000162046	SignalP-noTM	1	22
ENSMUSG00000037033	ENSMUST00000159989	SignalP-noTM	1	21
ENSMUSG00000067578	ENSMUST00000087950	SignalP-noTM	1	24
ENSMUSG00000034641	ENSMUST00000045075	SignalP-noTM	1	18
ENSMUSG00000023992	ENSMUST00000024791	SignalP-noTM	1	18
ENSMUSG00000023992	ENSMUST00000113237	SignalP-noTM	1	18
ENSMUSG00000025495	ENSMUST00000172787	SignalP-TM	1	21
ENSMUSG00000025495	ENSMUST00000209928	SignalP-noTM	1	17
ENSMUSG00000044430	ENSMUST00000107970	SignalP-noTM	1	17
ENSMUSG00000044430	ENSMUST00000014063	SignalP-noTM	1	17
ENSMUSG00000054046	ENSMUST00000066834	SignalP-noTM	1	18
ENSMUSG00000054046	ENSMUST00000206554	SignalP-noTM	1	18
ENSMUSG00000005374	ENSMUST00000153183	SignalP-TM	1	30
ENSMUSG00000044737	ENSMUST00000056329	SignalP-noTM	1	16
ENSMUSG00000030693	ENSMUST00000014058	SignalP-noTM	1	32
ENSMUSG00000047884	ENSMUST00000005891	SignalP-noTM	1	19
ENSMUSG00000044811	ENSMUST00000092464	SignalP-noTM	1	24
ENSMUSG00000031963	ENSMUST00000071982	SignalP-noTM	1	39
ENSMUSG00000067616	ENSMUST00000171458	SignalP-TM	1	17
ENSMUSG00000030110	ENSMUST00000032201	SignalP-noTM	1	23
ENSMUSG00000030110	ENSMUST00000088790	SignalP-noTM	1	23
ENSMUSG00000096630	ENSMUST00000032238	SignalP-noTM	1	22
ENSMUSG00000074195	ENSMUST00000098549	SignalP-noTM	1	23
ENSMUSG00000086564	ENSMUST00000147399	SignalP-noTM	1	20
ENSMUSG00000064023	ENSMUST00000085461	SignalP-noTM	1	23
ENSMUSG00000064023	ENSMUST00000205537	SignalP-noTM	1	23
ENSMUSG00000050447	ENSMUST00000053208	SignalP-noTM	1	25
ENSMUSG00000050447	ENSMUST00000128451	SignalP-noTM	1	25
ENSMUSG00000050447	ENSMUST00000126337	SignalP-noTM	1	25
ENSMUSG00000050447	ENSMUST00000112712	SignalP-noTM	1	25
ENSMUSG00000050447	ENSMUST00000169232	SignalP-noTM	1	25
ENSMUSG00000068547	ENSMUST00000029923	SignalP-noTM	1	23
ENSMUSG00000042254	ENSMUST00000048762	SignalP-noTM	1	21
ENSMUSG00000005672	ENSMUST00000144270	SignalP-noTM	1	25
ENSMUSG00000005672	ENSMUST00000005815	SignalP-noTM	1	25
ENSMUSG00000089753	ENSMUST00000106578	SignalP-noTM	1	18
ENSMUSG00000089753	ENSMUST00000092463	SignalP-noTM	1	18
ENSMUSG00000041540	ENSMUST00000124233	SignalP-noTM	1	18
ENSMUSG00000072778	ENSMUST00000100968	SignalP-noTM	1	22
ENSMUSG00000027864	ENSMUST00000102694	SignalP-noTM	1	21
ENSMUSG00000069609	ENSMUST00000100240	SignalP-noTM	1	18
ENSMUSG00000041078	ENSMUST00000043349	SignalP-noTM	1	20
ENSMUSG00000050808	ENSMUST00000111016	SignalP-noTM	1	20
ENSMUSG00000050808	ENSMUST00000111017	SignalP-noTM	1	20
ENSMUSG00000050808	ENSMUST00000090332	SignalP-noTM	1	20
ENSMUSG00000038526	ENSMUST00000036181	SignalP-noTM	1	15
ENSMUSG00000096257	ENSMUST00000178767	SignalP-noTM	1	21
ENSMUSG00000037408	ENSMUST00000153128	SignalP-noTM	1	34
ENSMUSG00000023993	ENSMUST00000224001	SignalP-noTM	1	20
ENSMUSG00000023993	ENSMUST00000024792	SignalP-noTM	1	20
ENSMUSG00000023993	ENSMUST00000225849	SignalP-noTM	1	20
ENSMUSG00000020402	ENSMUST00000020673	SignalP-noTM	1	21
ENSMUSG00000019647	ENSMUST00000019791	SignalP-noTM	1	18
ENSMUSG00000019647	ENSMUST00000076043	SignalP-noTM	1	18
ENSMUSG00000019647	ENSMUST00000135790	SignalP-noTM	1	18
ENSMUSG00000019647	ENSMUST00000156422	SignalP-noTM	1	18
ENSMUSG00000019647	ENSMUST00000126684	SignalP-noTM	1	18
ENSMUSG00000019647	ENSMUST00000115449	SignalP-noTM	1	18
ENSMUSG00000014686	ENSMUST00000014830	SignalP-noTM	1	22
ENSMUSG00000025528	ENSMUST00000026602	SignalP-noTM	1	22
ENSMUSG00000025528	ENSMUST00000113412	SignalP-noTM	1	22
ENSMUSG00000021538	ENSMUST00000022019	SignalP-noTM	1	18
ENSMUSG00000036766	ENSMUST00000049126	SignalP-noTM	1	34
ENSMUSG00000002897	ENSMUST00000002976	SignalP-noTM	1	31
ENSMUSG00000003458	ENSMUST00000003550	SignalP-noTM	1	32
ENSMUSG00000010505	ENSMUST00000135744	SignalP-noTM	1	11
ENSMUSG00000057069	ENSMUST00000221560	SignalP-noTM	1	33
ENSMUSG00000057069	ENSMUST00000071973	SignalP-noTM	1	33
ENSMUSG00000057069	ENSMUST00000220811	SignalP-noTM	1	33
ENSMUSG00000026321	ENSMUST00000027559	SignalP-noTM	1	30
ENSMUSG00000021806	ENSMUST00000022340	SignalP-noTM	1	30
ENSMUSG00000021539	ENSMUST00000062806	SignalP-noTM	1	18
ENSMUSG00000021539	ENSMUST00000225183	SignalP-noTM	1	18
ENSMUSG00000044948	ENSMUST00000095998	SignalP-noTM	1	15
ENSMUSG00000030894	ENSMUST00000033184	SignalP-noTM	1	19
ENSMUSG00000049551	ENSMUST00000062572	SignalP-noTM	1	23
ENSMUSG00000002342	ENSMUST00000002413	SignalP-noTM	1	18
ENSMUSG00000002342	ENSMUST00000182980	SignalP-TM	1	37
ENSMUSG00000002342	ENSMUST00000182365	SignalP-noTM	1	18
ENSMUSG00000002342	ENSMUST00000149105	SignalP-noTM	1	17
ENSMUSG00000017754	ENSMUST00000109316	SignalP-noTM	1	17
ENSMUSG00000017754	ENSMUST00000109317	SignalP-noTM	1	17
ENSMUSG00000017754	ENSMUST00000059954	SignalP-noTM	1	17
ENSMUSG00000017754	ENSMUST00000156255	SignalP-noTM	1	18
ENSMUSG00000017754	ENSMUST00000128110	SignalP-noTM	1	17
ENSMUSG00000027601	ENSMUST00000130806	SignalP-noTM	1	19
ENSMUSG00000027601	ENSMUST00000117529	SignalP-noTM	1	19
ENSMUSG00000027601	ENSMUST00000119865	SignalP-noTM	1	19
ENSMUSG00000027601	ENSMUST00000130645	SignalP-noTM	1	19
ENSMUSG00000027601	ENSMUST00000132035	SignalP-noTM	1	19
ENSMUSG00000089722	ENSMUST00000100239	SignalP-noTM	1	18
ENSMUSG00000059203	ENSMUST00000113063	SignalP-noTM	1	16
ENSMUSG00000059203	ENSMUST00000075471	SignalP-noTM	1	16
ENSMUSG00000069607	ENSMUST00000092459	SignalP-noTM	1	18
ENSMUSG00000032948	ENSMUST00000062721	SignalP-noTM	1	18
ENSMUSG00000073804	ENSMUST00000097983	SignalP-noTM	1	23
ENSMUSG00000048498	ENSMUST00000062787	SignalP-noTM	1	17
ENSMUSG00000070601	ENSMUST00000094502	SignalP-noTM	1	21
ENSMUSG00000008845	ENSMUST00000032234	SignalP-noTM	1	36
ENSMUSG00000008845	ENSMUST00000112541	SignalP-noTM	1	36
ENSMUSG00000017760	ENSMUST00000103093	SignalP-noTM	1	23
ENSMUSG00000017760	ENSMUST00000103092	SignalP-noTM	1	23
ENSMUSG00000017760	ENSMUST00000127650	SignalP-noTM	1	23
ENSMUSG00000017760	ENSMUST00000143780	SignalP-noTM	1	23
ENSMUSG00000017760	ENSMUST00000017904	SignalP-noTM	1	41
ENSMUSG00000035493	ENSMUST00000045173	SignalP-noTM	1	23
ENSMUSG00000092048	ENSMUST00000171811	SignalP-noTM	1	24
ENSMUSG00000092162	ENSMUST00000170257	SignalP-noTM	1	24
ENSMUSG00000091511	ENSMUST00000164227	SignalP-noTM	1	24
ENSMUSG00000021872	ENSMUST00000164632	SignalP-TM	1	22
ENSMUSG00000074764	ENSMUST00000122367	SignalP-noTM	1	23
ENSMUSG00000074764	ENSMUST00000120133	SignalP-noTM	1	23
ENSMUSG00000031722	ENSMUST00000074898	SignalP-noTM	1	18
ENSMUSG00000001418	ENSMUST00000177005	SignalP-noTM	1	35
ENSMUSG00000001418	ENSMUST00000176519	SignalP-noTM	1	35
ENSMUSG00000001418	ENSMUST00000001454	SignalP-noTM	1	35
ENSMUSG00000001418	ENSMUST00000176425	SignalP-noTM	1	35
ENSMUSG00000029005	ENSMUST00000030862	SignalP-noTM	1	25
ENSMUSG00000020140	ENSMUST00000020350	SignalP-noTM	1	21
ENSMUSG00000020140	ENSMUST00000172806	SignalP-noTM	1	21
ENSMUSG00000020140	ENSMUST00000173740	SignalP-noTM	1	21
ENSMUSG00000030054	ENSMUST00000032133	SignalP-noTM	1	17
ENSMUSG00000005043	ENSMUST00000005173	SignalP-noTM	1	22
ENSMUSG00000005043	ENSMUST00000100172	SignalP-noTM	1	22
ENSMUSG00000027863	ENSMUST00000029456	SignalP-noTM	1	22
ENSMUSG00000037202	ENSMUST00000219375	SignalP-noTM	1	20
ENSMUSG00000037202	ENSMUST00000035419	SignalP-noTM	1	20
ENSMUSG00000028073	ENSMUST00000172621	SignalP-noTM	1	18
ENSMUSG00000028073	ENSMUST00000174759	SignalP-noTM	1	18
ENSMUSG00000028073	ENSMUST00000174776	SignalP-noTM	1	18
ENSMUSG00000028073	ENSMUST00000173184	SignalP-noTM	1	18
ENSMUSG00000028073	ENSMUST00000079083	SignalP-noTM	1	18
ENSMUSG00000028073	ENSMUST00000029714	SignalP-noTM	1	18
ENSMUSG00000028073	ENSMUST00000090981	SignalP-noTM	1	18
ENSMUSG00000048915	ENSMUST00000076840	SignalP-noTM	1	20
ENSMUSG00000048915	ENSMUST00000078839	SignalP-noTM	1	20
ENSMUSG00000036606	ENSMUST00000109331	SignalP-noTM	1	19
ENSMUSG00000036606	ENSMUST00000060808	SignalP-noTM	1	19
ENSMUSG00000056174	ENSMUST00000070132	SignalP-noTM	1	24
ENSMUSG00000056174	ENSMUST00000128435	SignalP-noTM	1	24
ENSMUSG00000029054	ENSMUST00000030925	SignalP-noTM	1	24
ENSMUSG00000041025	ENSMUST00000174078	SignalP-noTM	1	15
ENSMUSG00000041836	ENSMUST00000211140	SignalP-TM	1	19
ENSMUSG00000041836	ENSMUST00000073961	SignalP-TM	1	19
ENSMUSG00000041836	ENSMUST00000211788	SignalP-noTM	1	32
ENSMUSG00000041836	ENSMUST00000210833	SignalP-TM	1	19
ENSMUSG00000037788	ENSMUST00000127485	SignalP-TM	1	22
ENSMUSG00000037788	ENSMUST00000114297	SignalP-TM	1	22
ENSMUSG00000037788	ENSMUST00000145608	SignalP-TM	1	22
ENSMUSG00000028738	ENSMUST00000030510	SignalP-noTM	1	24
ENSMUSG00000028738	ENSMUST00000166773	SignalP-noTM	1	24
ENSMUSG00000047228	ENSMUST00000060574	SignalP-noTM	1	20
ENSMUSG00000046169	ENSMUST00000224208	SignalP-noTM	1	17
ENSMUSG00000046169	ENSMUST00000065766	SignalP-noTM	1	17
ENSMUSG00000020101	ENSMUST00000020301	SignalP-TM	1	32
ENSMUSG00000020101	ENSMUST00000105460	SignalP-TM	1	32
ENSMUSG00000020101	ENSMUST00000170507	SignalP-TM	1	32
ENSMUSG00000047798	ENSMUST00000106561	SignalP-noTM	1	19
ENSMUSG00000047798	ENSMUST00000051264	SignalP-noTM	1	19
ENSMUSG00000047798	ENSMUST00000106562	SignalP-noTM	1	19
ENSMUSG00000081683	ENSMUST00000117102	SignalP-noTM	1	21
ENSMUSG00000022040	ENSMUST00000224698	SignalP-noTM	1	19
ENSMUSG00000036019	ENSMUST00000061506	SignalP-noTM	1	21
ENSMUSG00000020303	ENSMUST00000020546	SignalP-noTM	1	24
ENSMUSG00000097271	ENSMUST00000181102	SignalP-noTM	1	23
ENSMUSG00000090550	ENSMUST00000166281	SignalP-noTM	1	22
ENSMUSG00000035929	ENSMUST00000081435	SignalP-noTM	1	21
ENSMUSG00000008438	ENSMUST00000008582	SignalP-noTM	1	33
ENSMUSG00000012819	ENSMUST00000073242	SignalP-noTM	1	23
ENSMUSG00000012819	ENSMUST00000105462	SignalP-noTM	1	23
ENSMUSG00000012819	ENSMUST00000105464	SignalP-noTM	1	23
ENSMUSG00000012819	ENSMUST00000105463	SignalP-noTM	1	23
ENSMUSG00000012819	ENSMUST00000105461	SignalP-noTM	1	23
ENSMUSG00000017417	ENSMUST00000017561	SignalP-noTM	1	19
ENSMUSG00000017417	ENSMUST00000107565	SignalP-noTM	1	19
ENSMUSG00000017417	ENSMUST00000107564	SignalP-noTM	1	19
ENSMUSG00000037171	ENSMUST00000049339	SignalP-noTM	1	26
ENSMUSG00000028072	ENSMUST00000029712	SignalP-noTM	1	33
ENSMUSG00000020695	ENSMUST00000100335	SignalP-noTM	1	30
ENSMUSG00000020695	ENSMUST00000021038	SignalP-noTM	1	30
ENSMUSG00000005640	ENSMUST00000029711	SignalP-noTM	1	23
ENSMUSG00000005640	ENSMUST00000107582	SignalP-noTM	1	23
ENSMUSG00000073409	ENSMUST00000174699	SignalP-noTM	1	21
ENSMUSG00000073409	ENSMUST00000113879	SignalP-noTM	1	21
ENSMUSG00000089989	ENSMUST00000209467	SignalP-noTM	1	50
ENSMUSG00000110206	ENSMUST00000211429	SignalP-noTM	1	50
ENSMUSG00000110206	ENSMUST00000146760	SignalP-noTM	1	27
ENSMUSG00000110206	ENSMUST00000210197	SignalP-noTM	1	50
ENSMUSG00000110206	ENSMUST00000211246	SignalP-noTM	1	27
ENSMUSG00000020843	ENSMUST00000120699	SignalP-TM	1	16
ENSMUSG00000027314	ENSMUST00000102517	SignalP-noTM	1	27
ENSMUSG00000060550	ENSMUST00000071951	SignalP-noTM	1	21
ENSMUSG00000060550	ENSMUST00000116598	SignalP-noTM	1	21
ENSMUSG00000060550	ENSMUST00000078205	SignalP-noTM	1	21
ENSMUSG00000060550	ENSMUST00000076256	SignalP-noTM	1	21
ENSMUSG00000027505	ENSMUST00000029007	SignalP-TM	1	20
ENSMUSG00000051379	ENSMUST00000110057	SignalP-noTM	1	28
ENSMUSG00000051379	ENSMUST00000056760	SignalP-noTM	1	28
ENSMUSG00000040972	ENSMUST00000039331	SignalP-noTM	1	24
ENSMUSG00000020135	ENSMUST00000105359	SignalP-noTM	1	19
ENSMUSG00000042035	ENSMUST00000043983	SignalP-noTM	1	19
ENSMUSG00000042035	ENSMUST00000195164	SignalP-noTM	1	19
ENSMUSG00000034614	ENSMUST00000045153	SignalP-noTM	1	21
ENSMUSG00000034614	ENSMUST00000136536	SignalP-noTM	1	21
ENSMUSG00000034614	ENSMUST00000093399	SignalP-noTM	1	21
ENSMUSG00000044701	ENSMUST00000058429	SignalP-noTM	1	28
ENSMUSG00000028583	ENSMUST00000030317	SignalP-noTM	1	22
ENSMUSG00000028583	ENSMUST00000119654	SignalP-noTM	1	22
ENSMUSG00000089809	ENSMUST00000209346	SignalP-noTM	1	17
ENSMUSG00000089809	ENSMUST00000146396	SignalP-noTM	1	17
ENSMUSG00000089809	ENSMUST00000161516	SignalP-noTM	1	17
ENSMUSG00000089809	ENSMUST00000161148	SignalP-noTM	1	17
ENSMUSG00000067235	ENSMUST00000174525	SignalP-noTM	1	24
ENSMUSG00000067235	ENSMUST00000068291	SignalP-noTM	1	24
ENSMUSG00000070464	ENSMUST00000094226	SignalP-noTM	1	22
ENSMUSG00000004814	ENSMUST00000004936	SignalP-noTM	1	26
ENSMUSG00000004814	ENSMUST00000201401	SignalP-noTM	1	26
ENSMUSG00000028584	ENSMUST00000052458	SignalP-noTM	1	31
ENSMUSG00000022620	ENSMUST00000165199	SignalP-noTM	1	17
ENSMUSG00000006711	ENSMUST00000006893	SignalP-noTM	1	22
ENSMUSG00000062960	ENSMUST00000113516	SignalP-noTM	1	19
ENSMUSG00000027848	ENSMUST00000029440	SignalP-noTM	1	21
ENSMUSG00000022041	ENSMUST00000206455	SignalP-noTM	1	27
ENSMUSG00000022041	ENSMUST00000022620	SignalP-noTM	1	27
ENSMUSG00000028782	ENSMUST00000120204	SignalP-noTM	1	20
ENSMUSG00000028782	ENSMUST00000106017	SignalP-noTM	1	20
ENSMUSG00000028782	ENSMUST00000121049	SignalP-noTM	1	20
ENSMUSG00000028782	ENSMUST00000106015	SignalP-noTM	1	20
ENSMUSG00000028782	ENSMUST00000106018	SignalP-noTM	1	20
ENSMUSG00000028782	ENSMUST00000097868	SignalP-noTM	1	20
ENSMUSG00000028782	ENSMUST00000030571	SignalP-noTM	1	20
ENSMUSG00000105204	ENSMUST00000200659	SignalP-noTM	1	21
ENSMUSG00000059743	ENSMUST00000196921	SignalP-noTM	1	21
ENSMUSG00000020131	ENSMUST00000020340	SignalP-noTM	1	26
ENSMUSG00000020151	ENSMUST00000063470	SignalP-noTM	1	23
ENSMUSG00000032373	ENSMUST00000071889	SignalP-noTM	1	24
ENSMUSG00000032373	ENSMUST00000085420	SignalP-noTM	1	24
ENSMUSG00000056115	ENSMUST00000070028	SignalP-TM	1	19
ENSMUSG00000040713	ENSMUST00000111432	SignalP-noTM	1	31
ENSMUSG00000036957	ENSMUST00000046351	SignalP-noTM	1	16
ENSMUSG00000032932	ENSMUST00000046283	SignalP-noTM	1	22
ENSMUSG00000032932	ENSMUST00000114244	SignalP-noTM	1	22
ENSMUSG00000043531	ENSMUST00000209413	SignalP-noTM	1	33
ENSMUSG00000043531	ENSMUST00000211687	SignalP-noTM	1	33
ENSMUSG00000043531	ENSMUST00000211008	SignalP-noTM	1	33
ENSMUSG00000043531	ENSMUST00000209783	SignalP-noTM	1	33
ENSMUSG00000043531	ENSMUST00000164039	SignalP-noTM	1	33
ENSMUSG00000043531	ENSMUST00000111756	SignalP-noTM	1	33
