Gene stable ID	Transcript stable ID	Protein stable ID	Transcript type	Source (transcript)	Gene name
ENSMUSG00000000441	ENSMUST00000203826		retained_intron	havana	Raf1
ENSMUSG00000000441	ENSMUST00000127503		retained_intron	havana	Raf1
ENSMUSG00000050310	ENSMUST00000226201		retained_intron	havana	Rictor
ENSMUSG00000050310	ENSMUST00000226181		retained_intron	havana	Rictor
ENSMUSG00000050310	ENSMUST00000061656	ENSMUSP00000051809	protein_coding	ensembl_havana	Rictor
ENSMUSG00000019802	ENSMUST00000019937	ENSMUSP00000019937	protein_coding	ensembl_havana	Sec63
ENSMUSG00000006920	ENSMUST00000107284	ENSMUSP00000102905	protein_coding	havana	Ezh1
ENSMUSG00000001687	ENSMUST00000079324	ENSMUSP00000078303	protein_coding	ensembl_havana	Ubl3
ENSMUSG00000001687	ENSMUST00000201597		retained_intron	havana	Ubl3
ENSMUSG00000062040	ENSMUST00000162592	ENSMUSP00000123953	protein_coding	havana	Zfp27
ENSMUSG00000033327	ENSMUST00000087399	ENSMUSP00000084661	protein_coding	ensembl_havana	Tnxb
ENSMUSG00000033228	ENSMUST00000228072	ENSMUSP00000154674	protein_coding	havana	Scaf11
ENSMUSG00000033228	ENSMUST00000227133		processed_transcript	havana	Scaf11
ENSMUSG00000031681	ENSMUST00000066091	ENSMUSP00000071035	protein_coding	ensembl_havana	Smad1
ENSMUSG00000019842	ENSMUST00000019987	ENSMUSP00000019987	protein_coding	ensembl_havana	Traf3ip2
ENSMUSG00000060216	ENSMUST00000138006		retained_intron	havana	Arrb2
ENSMUSG00000030340	ENSMUST00000176110	ENSMUSP00000134940	protein_coding	havana	Scnn1a
ENSMUSG00000030340	ENSMUST00000081440	ENSMUSP00000080164	protein_coding	ensembl_havana	Scnn1a
ENSMUSG00000060679	ENSMUST00000057208	ENSMUSP00000056855	protein_coding	ensembl_havana	Mrps9
ENSMUSG00000060679	ENSMUST00000185376		processed_transcript	havana	Mrps9
ENSMUSG00000060679	ENSMUST00000185523		processed_transcript	havana	Mrps9
ENSMUSG00000060679	ENSMUST00000188174		retained_intron	havana	Mrps9
ENSMUSG00000060679	ENSMUST00000202358		retained_intron	havana	Mrps9
ENSMUSG00000099689	ENSMUST00000187028	ENSMUSP00000141019	nonsense_mediated_decay	havana	Zfp383
ENSMUSG00000059975	ENSMUST00000108205	ENSMUSP00000103840	protein_coding	havana	Zfp74
ENSMUSG00000049321	ENSMUST00000116378	ENSMUSP00000112079	protein_coding	ensembl_havana	Zfp2
ENSMUSG00000037640	ENSMUST00000108336	ENSMUSP00000103973	protein_coding	havana	Zfp60
ENSMUSG00000037640	ENSMUST00000126884		retained_intron	havana	Zfp60
ENSMUSG00000003269	ENSMUST00000056820	ENSMUSP00000051423	protein_coding	ensembl	Cyth2
ENSMUSG00000009654	ENSMUST00000009798	ENSMUSP00000009798	protein_coding	ensembl_havana	Oit3
ENSMUSG00000028496	ENSMUST00000078090	ENSMUSP00000077232	protein_coding	ensembl_havana	Mllt3
ENSMUSG00000041298	ENSMUST00000047257	ENSMUSP00000043210	protein_coding	ensembl_havana	Katnal1
ENSMUSG00000022407	ENSMUST00000023043	ENSMUSP00000023043	protein_coding	ensembl_havana	Adsl
ENSMUSG00000022407	ENSMUST00000198302		retained_intron	havana	Adsl
ENSMUSG00000071177	ENSMUST00000078869	ENSMUSP00000077909	protein_coding	ensembl_havana	Serpina1d
ENSMUSG00000024516	ENSMUST00000139538		retained_intron	havana	Sec11c
ENSMUSG00000039116	ENSMUST00000041168	ENSMUSP00000043055	protein_coding	ensembl_havana	Adgrg6
ENSMUSG00000035397	ENSMUST00000038558	ENSMUSP00000048825	protein_coding	ensembl_havana	Klf16
ENSMUSG00000071178	ENSMUST00000186166	ENSMUSP00000139941	protein_coding	havana	Serpina1b
ENSMUSG00000039210	ENSMUST00000097443		processed_transcript	havana	Gpatch2
ENSMUSG00000039210	ENSMUST00000110943	ENSMUSP00000106568	protein_coding	havana	Gpatch2
ENSMUSG00000039210	ENSMUST00000044812	ENSMUSP00000048979	protein_coding	havana	Gpatch2
ENSMUSG00000024359	ENSMUST00000025217	ENSMUSP00000025217	protein_coding	ensembl_havana	Hspa9
ENSMUSG00000024359	ENSMUST00000173701		retained_intron	havana	Hspa9
ENSMUSG00000024359	ENSMUST00000172829		retained_intron	havana	Hspa9
ENSMUSG00000027206	ENSMUST00000110463	ENSMUSP00000106090	protein_coding	ensembl_havana	Cops2
ENSMUSG00000019843	ENSMUST00000063091	ENSMUSP00000057707	protein_coding	ensembl_havana	Fyn
ENSMUSG00000014554	ENSMUST00000014698	ENSMUSP00000014698	protein_coding	ensembl_havana	Dguok
ENSMUSG00000014554	ENSMUST00000145455	ENSMUSP00000138197	nonsense_mediated_decay	havana	Dguok
ENSMUSG00000014554	ENSMUST00000206974		retained_intron	havana	Dguok
ENSMUSG00000020669	ENSMUST00000142693		retained_intron	havana	Sh3yl1
ENSMUSG00000031644	ENSMUST00000120689	ENSMUSP00000113932	protein_coding	havana	Nek1
ENSMUSG00000018481	ENSMUST00000018625	ENSMUSP00000018625	protein_coding	ensembl_havana	Appbp2
ENSMUSG00000050079	ENSMUST00000060389	ENSMUSP00000057275	protein_coding	ensembl_havana	Rspry1
ENSMUSG00000050079	ENSMUST00000212014		retained_intron	havana	Rspry1
ENSMUSG00000050079	ENSMUST00000121101	ENSMUSP00000112482	protein_coding	havana	Rspry1
ENSMUSG00000050079	ENSMUST00000154035		retained_intron	havana	Rspry1
ENSMUSG00000045205	ENSMUST00000084892	ENSMUSP00000081954	protein_coding	ensembl_havana	Dpy19l4
ENSMUSG00000070594	ENSMUST00000111989	ENSMUSP00000107620	protein_coding	ensembl_havana	Gm4788
ENSMUSG00000031578	ENSMUST00000033983	ENSMUSP00000033983	protein_coding	ensembl_havana	Mak16
ENSMUSG00000039483	ENSMUST00000041726	ENSMUSP00000043462	protein_coding	ensembl_havana	Asb6
ENSMUSG00000034450	ENSMUST00000059970	ENSMUSP00000060912	protein_coding	ensembl_havana	Gulo
ENSMUSG00000025270	ENSMUST00000066337	ENSMUSP00000066040	protein_coding	ensembl_havana	Alas2
ENSMUSG00000025270	ENSMUST00000134670		retained_intron	havana	Alas2
ENSMUSG00000034613	ENSMUST00000067918	ENSMUSP00000066561	protein_coding	ensembl_havana	Ppm1h
ENSMUSG00000030600	ENSMUST00000108288	ENSMUSP00000103923	protein_coding	ensembl_havana	Lrfn1
ENSMUSG00000019132	ENSMUST00000019276	ENSMUSP00000019276	protein_coding	ensembl_havana	BC005537
ENSMUSG00000031577	ENSMUST00000098842	ENSMUSP00000096441	protein_coding	ensembl	Tti2
ENSMUSG00000003234	ENSMUST00000003319	ENSMUSP00000003319	protein_coding	ensembl_havana	Abcf3
ENSMUSG00000074780	ENSMUST00000218771	ENSMUSP00000151380	protein_coding	havana	Anapc15-ps
ENSMUSG00000084174	ENSMUST00000119180	ENSMUSP00000112770	protein_coding	ensembl_havana	Sycn
ENSMUSG00000020328	ENSMUST00000020578	ENSMUSP00000020578	protein_coding	ensembl_havana	Nudcd2
ENSMUSG00000060791	ENSMUST00000138741		retained_intron	havana	Gmfg
ENSMUSG00000036768	ENSMUST00000214921		retained_intron	havana	Kif15
ENSMUSG00000025815	ENSMUST00000095147	ENSMUSP00000092769	protein_coding	ensembl_havana	Dhtkd1
ENSMUSG00000037992	ENSMUST00000068133	ENSMUSP00000069744	protein_coding	ensembl_havana	Rara
ENSMUSG00000037992	ENSMUST00000107473	ENSMUSP00000103097	protein_coding	ensembl_havana	Rara
ENSMUSG00000004099	ENSMUST00000178110	ENSMUSP00000136669	protein_coding	havana	Dnmt1
ENSMUSG00000004099	ENSMUST00000214964		retained_intron	havana	Dnmt1
ENSMUSG00000042216	ENSMUST00000048112	ENSMUSP00000046544	protein_coding	ensembl_havana	Sgsm1
ENSMUSG00000003346	ENSMUST00000191440	ENSMUSP00000139766	protein_coding	havana	Abhd17a
ENSMUSG00000025246	ENSMUST00000088217	ENSMUSP00000085549	protein_coding	ensembl_havana	Tbl1x
ENSMUSG00000025246	ENSMUST00000133893		retained_intron	havana	Tbl1x
ENSMUSG00000036632	ENSMUST00000141191	ENSMUSP00000118818	nonsense_mediated_decay	havana	Alg5
ENSMUSG00000041264	ENSMUST00000200759		retained_intron	havana	Uspl1
ENSMUSG00000041264	ENSMUST00000201232		retained_intron	havana	Uspl1
ENSMUSG00000041264	ENSMUST00000150921		retained_intron	havana	Uspl1
ENSMUSG00000041264	ENSMUST00000121416	ENSMUSP00000113894	protein_coding	ensembl_havana	Uspl1
ENSMUSG00000038188	ENSMUST00000042808	ENSMUSP00000044248	protein_coding	ensembl_havana	Scarf1
ENSMUSG00000047250	ENSMUST00000062069	ENSMUSP00000059977	protein_coding	ensembl_havana	Ptgs1
ENSMUSG00000047250	ENSMUST00000151351		retained_intron	havana	Ptgs1
ENSMUSG00000047250	ENSMUST00000133777		retained_intron	havana	Ptgs1
ENSMUSG00000025269	ENSMUST00000112720	ENSMUSP00000108340	protein_coding	havana	Apex2
ENSMUSG00000025269	ENSMUST00000112725	ENSMUSP00000108345	protein_coding	havana	Apex2
ENSMUSG00000021279	ENSMUST00000041965	ENSMUSP00000042565	protein_coding	ensembl_havana	Cdc42bpb
ENSMUSG00000061894	ENSMUST00000097877	ENSMUSP00000095487	protein_coding	ensembl_havana	Zscan20
ENSMUSG00000020262	ENSMUST00000144547	ENSMUSP00000122102	nonsense_mediated_decay	havana	Adarb1
ENSMUSG00000020262	ENSMUST00000105406	ENSMUSP00000101046	protein_coding	havana	Adarb1
ENSMUSG00000020262	ENSMUST00000150227		retained_intron	havana	Adarb1
ENSMUSG00000068522	ENSMUST00000090025	ENSMUSP00000087479	protein_coding	ensembl_havana	Aard
ENSMUSG00000068523	ENSMUST00000090031	ENSMUSP00000087485	protein_coding	ensembl_havana	Gng5
ENSMUSG00000068523	ENSMUST00000118280	ENSMUSP00000114014	protein_coding	havana	Gng5
ENSMUSG00000030602	ENSMUST00000108283	ENSMUSP00000103918	protein_coding	havana	Pak4
ENSMUSG00000021495	ENSMUST00000021957	ENSMUSP00000021957	protein_coding	ensembl_havana	Fam193b
ENSMUSG00000021495	ENSMUST00000224486		retained_intron	havana	Fam193b
ENSMUSG00000021495	ENSMUST00000225262		retained_intron	havana	Fam193b
ENSMUSG00000002983	ENSMUST00000148040		retained_intron	havana	Relb
ENSMUSG00000032077	ENSMUST00000138498		retained_intron	havana	Bud13
ENSMUSG00000032077	ENSMUST00000074957	ENSMUSP00000074490	protein_coding	ensembl_havana	Bud13
ENSMUSG00000044080	ENSMUST00000060738	ENSMUSP00000058237	protein_coding	ensembl_havana	S100a1
ENSMUSG00000020647	ENSMUST00000085814	ENSMUSP00000082971	protein_coding	ensembl_havana	Ncoa1
ENSMUSG00000109336	ENSMUST00000208199	ENSMUSP00000147037	protein_coding	havana	Samd4b
ENSMUSG00000032549	ENSMUST00000035155	ENSMUSP00000035155	protein_coding	ensembl_havana	Rab6b
ENSMUSG00000012640	ENSMUST00000145622	ENSMUSP00000138240	nonsense_mediated_decay	havana	Zfp715
ENSMUSG00000031774	ENSMUST00000034226	ENSMUSP00000034226	protein_coding	ensembl_havana	Fam192a
ENSMUSG00000029387	ENSMUST00000200670		retained_intron	havana	Gtf2h3
ENSMUSG00000029387	ENSMUST00000031333	ENSMUSP00000031333	protein_coding	ensembl_havana	Gtf2h3
ENSMUSG00000036990	ENSMUST00000173078	ENSMUSP00000133939	protein_coding	ensembl_havana	Otud4
ENSMUSG00000025474	ENSMUST00000211186		retained_intron	havana	Tubgcp2
ENSMUSG00000025474	ENSMUST00000209930		retained_intron	havana	Tubgcp2
ENSMUSG00000009647	ENSMUST00000020312	ENSMUSP00000020312	protein_coding	ensembl_havana	Mcu
ENSMUSG00000009647	ENSMUST00000161168		processed_transcript	havana	Mcu
ENSMUSG00000034610	ENSMUST00000043368	ENSMUSP00000044836	protein_coding	ensembl	Zcchc11
ENSMUSG00000049804	ENSMUST00000124226	ENSMUSP00000132914	protein_coding	ensembl_havana	Armcx4
ENSMUSG00000025271	ENSMUST00000142848		processed_transcript	havana	Pfkfb1
ENSMUSG00000025271	ENSMUST00000112713	ENSMUSP00000108333	protein_coding	havana	Pfkfb1
ENSMUSG00000049988	ENSMUST00000052437	ENSMUSP00000049686	protein_coding	ensembl_havana	Lrrc25
ENSMUSG00000028187	ENSMUST00000199079	ENSMUSP00000143279	protein_coding	havana	Rpf1
ENSMUSG00000028187	ENSMUST00000199174	ENSMUSP00000142765	protein_coding	havana	Rpf1
ENSMUSG00000030086	ENSMUST00000204970		retained_intron	havana	Chchd6
ENSMUSG00000067336	ENSMUST00000186246		retained_intron	havana	Bmpr2
ENSMUSG00000067336	ENSMUST00000087435	ENSMUSP00000084701	protein_coding	ensembl_havana	Bmpr2
ENSMUSG00000020692	ENSMUST00000124109		retained_intron	havana	Nle1
ENSMUSG00000039117	ENSMUST00000041618	ENSMUSP00000038610	protein_coding	ensembl_havana	Taf4
ENSMUSG00000038759	ENSMUST00000043815	ENSMUSP00000039656	protein_coding	ensembl_havana	Nup205
ENSMUSG00000038759	ENSMUST00000200739		retained_intron	havana	Nup205
ENSMUSG00000017639	ENSMUST00000155381	ENSMUSP00000114971	protein_coding	havana	Rab11fip4
ENSMUSG00000017639	ENSMUST00000017783	ENSMUSP00000017783	protein_coding	ensembl_havana	Rab11fip4
ENSMUSG00000041324	ENSMUST00000042603	ENSMUSP00000047894	protein_coding	ensembl_havana	Inhba
ENSMUSG00000025479	ENSMUST00000026552	ENSMUSP00000026552	protein_coding	ensembl_havana	Cyp2e1
ENSMUSG00000042312	ENSMUST00000048138	ENSMUSP00000047737	protein_coding	ensembl_havana	S100a13
ENSMUSG00000002957	ENSMUST00000201320		retained_intron	havana	Ap2a2
ENSMUSG00000002957	ENSMUST00000003038	ENSMUSP00000003038	protein_coding	ensembl_havana	Ap2a2
ENSMUSG00000030452	ENSMUST00000205773		retained_intron	havana	Nipa2
ENSMUSG00000030452	ENSMUST00000119201	ENSMUSP00000114020	protein_coding	ensembl_havana	Nipa2
ENSMUSG00000017390	ENSMUST00000017534	ENSMUSP00000017534	protein_coding	havana	Aldoc
ENSMUSG00000025470	ENSMUST00000210936		retained_intron	havana	Zfp511
ENSMUSG00000025470	ENSMUST00000210882	ENSMUSP00000147401	protein_coding	havana	Zfp511
ENSMUSG00000028318	ENSMUST00000133157	ENSMUSP00000121007	protein_coding	ensembl_havana	Polr1e
ENSMUSG00000021668	ENSMUST00000022172	ENSMUSP00000022172	protein_coding	ensembl_havana	Polk
ENSMUSG00000002846	ENSMUST00000002925	ENSMUSP00000002925	protein_coding	ensembl_havana	Timmdc1
ENSMUSG00000038619	ENSMUST00000197050		retained_intron	havana	Ensa
ENSMUSG00000038619	ENSMUST00000037983	ENSMUSP00000045937	protein_coding	ensembl_havana	Ensa
ENSMUSG00000038619	ENSMUST00000199421		TEC	havana	Ensa
ENSMUSG00000021113	ENSMUST00000021532	ENSMUSP00000021532	protein_coding	ensembl_havana	Snapc1
ENSMUSG00000021113	ENSMUST00000222025	ENSMUSP00000152584	nonsense_mediated_decay	havana	Snapc1
ENSMUSG00000061787	ENSMUST00000156346		retained_intron	havana	Rps17
ENSMUSG00000030872	ENSMUST00000033160	ENSMUSP00000033160	protein_coding	ensembl_havana	Gga2
ENSMUSG00000052013	ENSMUST00000102802	ENSMUSP00000099866	protein_coding	ensembl_havana	Btla
ENSMUSG00000027796	ENSMUST00000029371	ENSMUSP00000029371	protein_coding	ensembl_havana	Smad9
ENSMUSG00000038508	ENSMUST00000003808	ENSMUSP00000003808	protein_coding	ensembl_havana	Gdf15
ENSMUSG00000043398	ENSMUST00000050649	ENSMUSP00000058762	protein_coding	ensembl_havana	Gpr135
ENSMUSG00000029312	ENSMUST00000031254	ENSMUSP00000031254	protein_coding	ensembl_havana	Klhl8
ENSMUSG00000019718	ENSMUST00000019862	ENSMUSP00000019862	protein_coding	ensembl_havana	L3hypdh
ENSMUSG00000038167	ENSMUST00000042647	ENSMUSP00000037004	protein_coding	ensembl_havana	Plekhg6
ENSMUSG00000074221	ENSMUST00000146074	ENSMUSP00000118823	protein_coding	havana	Zfp568
ENSMUSG00000074221	ENSMUST00000148442	ENSMUSP00000118387	protein_coding	havana	Zfp568
ENSMUSG00000027165	ENSMUST00000111231	ENSMUSP00000106862	protein_coding	ensembl_havana	B230118H07Rik
ENSMUSG00000032324	ENSMUST00000034876	ENSMUSP00000034876	protein_coding	ensembl_havana	Tspan3
ENSMUSG00000021109	ENSMUST00000021530	ENSMUSP00000021530	protein_coding	ensembl_havana	Hif1a
ENSMUSG00000038612	ENSMUST00000037947	ENSMUSP00000044048	protein_coding	ensembl_havana	Mcl1
ENSMUSG00000078964	ENSMUST00000109582	ENSMUSP00000105210	protein_coding	ensembl_havana	Ces1b
ENSMUSG00000046380	ENSMUST00000050234	ENSMUSP00000051842	protein_coding	ensembl_havana	Jrk
ENSMUSG00000031877	ENSMUST00000043183	ENSMUSP00000049315	protein_coding	ensembl_havana	Ces2g
ENSMUSG00000032116	ENSMUST00000120381	ENSMUSP00000113116	protein_coding	ensembl_havana	Stt3a
ENSMUSG00000032116	ENSMUST00000133060	ENSMUSP00000120360	protein_coding	havana	Stt3a
ENSMUSG00000030341	ENSMUST00000032491	ENSMUSP00000032491	protein_coding	ensembl_havana	Tnfrsf1a
ENSMUSG00000042331	ENSMUST00000108709	ENSMUSP00000104349	protein_coding	ensembl	Specc1
ENSMUSG00000004032	ENSMUST00000170058	ENSMUSP00000125913	nonsense_mediated_decay	havana	Gstm5
ENSMUSG00000000838	ENSMUST00000088546	ENSMUSP00000085906	protein_coding	ensembl_havana	Fmr1
ENSMUSG00000000838	ENSMUST00000127954		retained_intron	havana	Fmr1
ENSMUSG00000000838	ENSMUST00000127993		retained_intron	havana	Fmr1
ENSMUSG00000068040	ENSMUST00000089027	ENSMUSP00000086422	protein_coding	ensembl_havana	Tm9sf4
ENSMUSG00000068040	ENSMUST00000146477		processed_transcript	havana	Tm9sf4
ENSMUSG00000036391	ENSMUST00000109097	ENSMUSP00000104725	protein_coding	ensembl_havana	Sec24a
ENSMUSG00000032316	ENSMUST00000215109		retained_intron	havana	Clk3
ENSMUSG00000032316	ENSMUST00000215158	ENSMUSP00000150411	protein_coding	havana	Clk3
ENSMUSG00000023861	ENSMUST00000137344		retained_intron	havana	Mpc1
ENSMUSG00000004771	ENSMUST00000172298	ENSMUSP00000129163	protein_coding	ensembl_havana	Rab11a
ENSMUSG00000030613	ENSMUST00000032842	ENSMUSP00000032842	protein_coding	ensembl_havana	Ccdc90b
ENSMUSG00000064326	ENSMUST00000021728	ENSMUSP00000021728	protein_coding	ensembl_havana	Siva1
ENSMUSG00000064326	ENSMUST00000222353		retained_intron	havana	Siva1
ENSMUSG00000064326	ENSMUST00000222729		retained_intron	havana	Siva1
ENSMUSG00000009035	ENSMUST00000074991	ENSMUSP00000074518	protein_coding	ensembl_havana	Tmem184b
ENSMUSG00000009035	ENSMUST00000226821		retained_intron	havana	Tmem184b
ENSMUSG00000026028	ENSMUST00000027186	ENSMUSP00000027186	protein_coding	ensembl_havana	Trak2
ENSMUSG00000029102	ENSMUST00000030985	ENSMUSP00000030985	protein_coding	ensembl_havana	Hgfac
ENSMUSG00000029102	ENSMUST00000201038		retained_intron	havana	Hgfac
ENSMUSG00000032536	ENSMUST00000210798	ENSMUSP00000147646	protein_coding	havana	Trak1
ENSMUSG00000032536	ENSMUST00000209995	ENSMUSP00000147885	protein_coding	havana	Trak1
ENSMUSG00000040667	ENSMUST00000148168		retained_intron	havana	Nup88
ENSMUSG00000040667	ENSMUST00000123192		retained_intron	havana	Nup88
ENSMUSG00000040667	ENSMUST00000129615		retained_intron	havana	Nup88
ENSMUSG00000040667	ENSMUST00000180225		retained_intron	havana	Nup88
ENSMUSG00000031903	ENSMUST00000034377	ENSMUSP00000034377	protein_coding	ensembl_havana	Pla2g15
ENSMUSG00000056204	ENSMUST00000070173	ENSMUSP00000070778	protein_coding	ensembl_havana	Pgpep1
ENSMUSG00000031072	ENSMUST00000141737	ENSMUSP00000147240	protein_coding	havana	Oraov1
ENSMUSG00000031072	ENSMUST00000207094		retained_intron	havana	Oraov1
ENSMUSG00000066551	ENSMUST00000085546	ENSMUSP00000082682	protein_coding	ensembl_havana	Hmgb1
ENSMUSG00000020335	ENSMUST00000109124	ENSMUSP00000104752	protein_coding	havana	Zfp354b
ENSMUSG00000020766	ENSMUST00000021114	ENSMUSP00000021114	protein_coding	ensembl_havana	Galk1
ENSMUSG00000035242	ENSMUST00000060987	ENSMUSP00000055922	protein_coding	ensembl	Oaz1
ENSMUSG00000063838	ENSMUST00000076831	ENSMUSP00000092508	protein_coding	ensembl_havana	Cdc42ep5
ENSMUSG00000046329	ENSMUST00000040280	ENSMUSP00000040198	protein_coding	ensembl_havana	Slc25a23
ENSMUSG00000036282	ENSMUST00000037362	ENSMUSP00000041450	protein_coding	ensembl	Naa30
ENSMUSG00000000157	ENSMUST00000113773	ENSMUSP00000109403	protein_coding	havana	Itgb2l
ENSMUSG00000027556	ENSMUST00000181860	ENSMUSP00000137926	protein_coding	havana	Car1
ENSMUSG00000070348	ENSMUST00000093962	ENSMUSP00000091495	protein_coding	ensembl_havana	Ccnd1
ENSMUSG00000017868	ENSMUST00000117123	ENSMUSP00000112468	protein_coding	havana	Sgk2
ENSMUSG00000030604	ENSMUST00000205671	ENSMUSP00000146286	protein_coding	havana	Zfp626
ENSMUSG00000022561	ENSMUST00000023221	ENSMUSP00000023221	protein_coding	ensembl_havana	Gpaa1
ENSMUSG00000022561	ENSMUST00000164972	ENSMUSP00000127108	nonsense_mediated_decay	havana	Gpaa1
ENSMUSG00000022561	ENSMUST00000163798		retained_intron	havana	Gpaa1
ENSMUSG00000022561	ENSMUST00000164680		retained_intron	havana	Gpaa1
ENSMUSG00000023460	ENSMUST00000070538	ENSMUSP00000070134	protein_coding	havana	Rab12
ENSMUSG00000052566	ENSMUST00000064495	ENSMUSP00000067752	protein_coding	ensembl_havana	Hook2
ENSMUSG00000027122	ENSMUST00000028536	ENSMUSP00000028536	protein_coding	ensembl_havana	Arl14ep
ENSMUSG00000074743	ENSMUST00000099270	ENSMUSP00000096877	protein_coding	ensembl_havana	Thbd
ENSMUSG00000024667	ENSMUST00000025569	ENSMUSP00000025569	protein_coding	ensembl_havana	Tmem216
ENSMUSG00000038957	ENSMUST00000043990	ENSMUSP00000049146	protein_coding	ensembl_havana	Edc3
ENSMUSG00000020914	ENSMUST00000068031	ENSMUSP00000068896	protein_coding	ensembl_havana	Top2a
ENSMUSG00000049536	ENSMUST00000055104	ENSMUSP00000061875	protein_coding	ensembl_havana	Tceal1
ENSMUSG00000022875	ENSMUST00000039492	ENSMUSP00000040485	protein_coding	ensembl_havana	Kng1
ENSMUSG00000022875	ENSMUST00000125790	ENSMUSP00000121701	protein_coding	havana	Kng1
ENSMUSG00000021592	ENSMUST00000120573	ENSMUSP00000113274	protein_coding	ensembl_havana	Arsk
ENSMUSG00000035370	ENSMUST00000218067	ENSMUSP00000151394	nonsense_mediated_decay	havana	Adat3
ENSMUSG00000041445	ENSMUST00000111908	ENSMUSP00000107539	protein_coding	ensembl_havana	Mmrn2
ENSMUSG00000044279	ENSMUST00000163763	ENSMUSP00000132502	protein_coding	havana	Crb3
ENSMUSG00000005078	ENSMUST00000117449	ENSMUSP00000113744	protein_coding	havana	Jkamp
ENSMUSG00000060126	ENSMUST00000110894	ENSMUSP00000106519	protein_coding	ensembl_havana	Tpt1
ENSMUSG00000024240	ENSMUST00000028100	ENSMUSP00000028100	protein_coding	ensembl_havana	Epc1
ENSMUSG00000020057	ENSMUST00000020249	ENSMUSP00000020249	protein_coding	ensembl_havana	Dram1
ENSMUSG00000021392	ENSMUST00000222197	ENSMUSP00000152536	protein_coding	havana	Nol8
ENSMUSG00000021392	ENSMUST00000223467	ENSMUSP00000152878	protein_coding	havana	Nol8
ENSMUSG00000021392	ENSMUST00000223346		retained_intron	havana	Nol8
ENSMUSG00000096049	ENSMUST00000180285	ENSMUSP00000136486	protein_coding	ensembl_havana	Gm2075
ENSMUSG00000003555	ENSMUST00000026012	ENSMUSP00000026012	protein_coding	ensembl_havana	Cyp17a1
ENSMUSG00000062545	ENSMUST00000074829	ENSMUSP00000074381	protein_coding	ensembl_havana	Tlr12
ENSMUSG00000029994	ENSMUST00000113675	ENSMUSP00000109305	protein_coding	havana	Anxa4
ENSMUSG00000095717	ENSMUST00000178852	ENSMUSP00000137563	protein_coding	ensembl_havana	Gm2056
ENSMUSG00000035311	ENSMUST00000020251	ENSMUSP00000020251	protein_coding	ensembl_havana	Gnptab
ENSMUSG00000001729	ENSMUST00000001780	ENSMUSP00000001780	protein_coding	ensembl_havana	Akt1
ENSMUSG00000000159	ENSMUST00000113794	ENSMUSP00000109425	protein_coding	ensembl_havana	Igsf5
ENSMUSG00000000159	ENSMUST00000000163	ENSMUSP00000000163	protein_coding	ensembl_havana	Igsf5
ENSMUSG00000038982	ENSMUST00000035899	ENSMUSP00000036614	protein_coding	ensembl_havana	Bloc1s5
ENSMUSG00000020477	ENSMUST00000154330	ENSMUSP00000119535	protein_coding	ensembl_havana	Mrps24
ENSMUSG00000036136	ENSMUST00000041133	ENSMUSP00000041563	protein_coding	ensembl_havana	Fam110c
ENSMUSG00000047003	ENSMUST00000054555	ENSMUSP00000056510	protein_coding	ensembl_havana	Zfp41
ENSMUSG00000060063	ENSMUST00000071130	ENSMUSP00000071130	protein_coding	ensembl_havana	Alox5ap
ENSMUSG00000056665	ENSMUST00000070923	ENSMUSP00000069692	protein_coding	ensembl_havana	Them6
ENSMUSG00000019768	ENSMUST00000149195		processed_transcript	havana	Esr1
ENSMUSG00000019768	ENSMUST00000105590	ENSMUSP00000101215	protein_coding	havana	Esr1
ENSMUSG00000021639	ENSMUST00000145266	ENSMUSP00000138108	nonsense_mediated_decay	havana	Gtf2h2
ENSMUSG00000021639	ENSMUST00000066984	ENSMUSP00000065228	protein_coding	ensembl_havana	Gtf2h2
ENSMUSG00000021639	ENSMUST00000147229		retained_intron	havana	Gtf2h2
ENSMUSG00000015759	ENSMUST00000015903	ENSMUSP00000015903	protein_coding	ensembl_havana	Cnih1
ENSMUSG00000021754	ENSMUST00000109267	ENSMUSP00000104890	protein_coding	ensembl_havana	Map3k1
ENSMUSG00000078779	ENSMUST00000205701	ENSMUSP00000145671	protein_coding	havana	Zfp59
ENSMUSG00000000486	ENSMUST00000205570		retained_intron	havana	Sept1
ENSMUSG00000036002	ENSMUST00000107958	ENSMUSP00000103592	protein_coding	ensembl_havana	Fam214b
ENSMUSG00000036002	ENSMUST00000107957	ENSMUSP00000103591	protein_coding	havana	Fam214b
ENSMUSG00000053985	ENSMUST00000207873	ENSMUSP00000146824	protein_coding	havana	Zfp14
ENSMUSG00000057400	ENSMUST00000034189	ENSMUSP00000034189	protein_coding	ensembl_havana	Ces1c
ENSMUSG00000110353	ENSMUST00000211096	ENSMUSP00000147949	protein_coding	havana	Gm33543
ENSMUSG00000013033	ENSMUST00000141158	ENSMUSP00000118452	protein_coding	ensembl_havana	Adgrl1
ENSMUSG00000038178	ENSMUST00000151891		retained_intron	havana	Slc43a2
ENSMUSG00000038178	ENSMUST00000169547	ENSMUSP00000126838	protein_coding	ensembl	Slc43a2
ENSMUSG00000010797	ENSMUST00000010941	ENSMUSP00000010941	protein_coding	ensembl_havana	Wnt2
ENSMUSG00000035725	ENSMUST00000036333	ENSMUSP00000045304	protein_coding	ensembl_havana	Prkx
ENSMUSG00000049680	ENSMUST00000170116	ENSMUSP00000133216	protein_coding	ensembl	Urgcp
